x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,label,match_id,turning_point
0,1,1,1,0,1,0.0,1.017,1,0,4.046625683060109,1,2023-wimbledon-1101,1
15,1,1,1,0,1,0.0,25.625,1,1,6.9553792349726775,1,2023-wimbledon-1101,0
30,1,1,1,0,1,0.0,3.538,1,1,7.99229344262295,1,2023-wimbledon-1101,1
40,1,1,1,0,1,0.0,12.775,1,0,8.87670819672131,0,2023-wimbledon-1101,0
25,1,1,1,0,1,0.0,15.018,1,1,4.0500207650273214,1,2023-wimbledon-1101,0
0,1,0,0,0,0,0.0,31.032,0,1,4.323833879781421,0,2023-wimbledon-1101,1
-15,0,0,0,0,0,0.0,4.561,0,1,1.9168857923497271,0,2023-wimbledon-1101,1
-30,0,0,0,0,0,0.0,29.901,0,1,-0.15179453551912542,1,2023-wimbledon-1101,0
-15,0,0,0,0,0,0.0,17.567,0,1,2.549275409836066,1,2023-wimbledon-1101,0
0,1,0,0,0,0,0.0,0.714,0,1,0.14961639344262317,0,2023-wimbledon-1101,0
-10,0,0,0,0,0,0.0,5.745,0,1,0.34895683060109295,0,2023-wimbledon-1101,0
0,1,0,1,0,0,1.0,3.314,1,1,2.4676202185792353,1,2023-wimbledon-1101,0
15,1,0,1,0,0,1.0,6.507,1,1,2.4534327868852457,1,2023-wimbledon-1101,1
30,1,0,1,0,0,1.0,34.542,1,0,2.6155573770491802,1,2023-wimbledon-1101,1
40,1,0,1,0,0,1.0,13.633,1,1,5.253825136612021,1,2023-wimbledon-1101,0
0,1,0,0,0,0,0.0,37.589,0,1,6.1260306010928955,0,2023-wimbledon-1101,1
-15,0,0,0,0,0,0.0,10.522,0,1,4.083622950819673,1,2023-wimbledon-1101,1
0,1,0,0,0,0,0.0,6.42,0,1,3.4058961748633876,0,2023-wimbledon-1101,0
-15,0,0,0,0,0,0.0,6.755,0,0,1.0225114754098361,1,2023-wimbledon-1101,0
0,1,0,0,0,0,0.0,28.824,0,1,-0.09851256830601082,0,2023-wimbledon-1101,0
-10,0,0,0,0,0,0.0,5.645,0,0,-0.018351366120218537,0,2023-wimbledon-1101,0
0,1,0,1,0,0,0.0,18.159,1,0,-1.504063387978142,0,2023-wimbledon-1101,0
-15,0,0,1,0,0,0.0,17.255,1,1,-1.7750409836065573,1,2023-wimbledon-1101,0
0,1,0,1,0,0,0.0,22.497,1,0,-1.4295169398907102,1,2023-wimbledon-1101,1
15,1,0,1,0,0,0.0,0.844,1,1,1.0870677595628415,1,2023-wimbledon-1101,1
25,1,0,1,0,0,0.0,4.995,1,0,2.7837202185792345,1,2023-wimbledon-1101,0
0,1,0,0,0,1,0.0,8.235,0,0,5.766139344262294,0,2023-wimbledon-1101,1
-15,0,0,0,0,1,0.0,19.772,0,1,3.729163934426229,0,2023-wimbledon-1101,0
-30,0,0,0,0,1,0.0,3.36,0,0,0.8370688524590163,1,2023-wimbledon-1101,0
-15,0,0,0,0,1,0.0,7.509,0,1,0.8061633879781424,0,2023-wimbledon-1101,0
-25,0,0,0,0,1,0.0,20.384,0,0,-2.0562972677595632,0,2023-wimbledon-1101,0
0,1,1,1,0,0,0.0,7.078,1,1,-1.5759136612021858,1,2023-wimbledon-1101,0
15,1,1,1,0,0,0.0,10.161,1,0,0.7144278688524591,1,2023-wimbledon-1101,1
30,1,1,1,0,0,0.0,6.496,1,1,0.9753327868852462,1,2023-wimbledon-1101,1
40,1,1,1,0,0,0.0,0.746,1,1,3.3021907103825137,1,2023-wimbledon-1101,1
0,1,0,0,0,1,0.0,6.546,0,0,5.568668306010927,0,2023-wimbledon-1101,1
-15,0,0,0,0,1,0.0,2.052,0,0,3.705649726775955,1,2023-wimbledon-1101,0
0,1,0,0,0,1,0.0,58.433,0,1,2.984744808743169,1,2023-wimbledon-1101,1
15,1,0,0,0,1,0.0,11.871,0,1,4.180000546448088,1,2023-wimbledon-1101,1
25,1,0,0,0,1,0.0,34.854,0,1,3.4166573770491806,0,2023-wimbledon-1101,0
10,1,0,0,0,1,0.0,27.65,0,0,3.361673770491804,0,2023-wimbledon-1101,0
0,1,0,0,0,1,0.0,12.447,0,1,0.8702092896174866,0,2023-wimbledon-1101,0
-10,0,0,0,0,1,0.0,30.381,0,0,-2.4233398907103827,0,2023-wimbledon-1101,0
0,1,1,1,1,1,0.5,0.902,1,0,-4.052786338797815,0,2023-wimbledon-1101,0
-15,0,1,1,1,1,0.5,7.316,1,1,-3.9717191256830597,1,2023-wimbledon-1101,0
0,1,1,1,1,1,0.5,8.9,1,1,-1.5844530054644808,0,2023-wimbledon-1101,0
-15,0,1,1,1,1,0.5,2.992,1,1,-1.816944262295082,1,2023-wimbledon-1101,0
0,1,1,1,1,1,0.5,5.893,1,1,-0.03133224043715868,0,2023-wimbledon-1101,1
-10,0,1,1,1,1,0.5,0.782,1,1,-0.01593333333333312,1,2023-wimbledon-1101,0
0,1,1,1,1,1,0.5,20.778,1,0,-0.050812568306011094,0,2023-wimbledon-1101,1
-10,0,1,1,1,1,0.5,52.951,1,0,-0.11166393442622927,1,2023-wimbledon-1101,1
0,1,1,1,1,1,0.5,28.124,1,1,0.35850000000000004,1,2023-wimbledon-1101,1
10,1,1,1,1,1,0.5,9.344,1,1,3.060994535519126,0,2023-wimbledon-1101,0
0,1,1,1,1,1,0.5,3.913,1,1,0.5590612021857924,1,2023-wimbledon-1101,0
10,1,1,1,1,1,0.5,12.742,1,0,3.155285792349727,0,2023-wimbledon-1101,0
0,1,1,1,1,1,0.5,4.706,1,0,0.1142983606557378,0,2023-wimbledon-1101,0
-10,0,1,1,1,1,0.5,14.124,1,1,-2.543595081967213,1,2023-wimbledon-1101,0
0,1,1,1,1,1,0.5,37.521,1,1,-0.04461693989071045,0,2023-wimbledon-1101,0
-10,0,1,1,1,1,0.5,3.711,1,0,-2.5199562841530057,0,2023-wimbledon-1101,0
0,1,0,1,0,0,1.0,8.136,0,1,-2.842674316939891,1,2023-wimbledon-1101,0
15,1,0,1,0,0,1.0,22.703,0,1,-0.5469158469945354,1,2023-wimbledon-1101,1
30,1,0,1,0,0,1.0,4.624,0,1,-0.6136863387978139,0,2023-wimbledon-1101,0
15,1,0,1,0,0,1.0,36.346,0,1,-0.3780071038251364,0,2023-wimbledon-1101,0
0,1,0,1,0,0,1.0,4.542,0,0,-0.01079999999999981,1,2023-wimbledon-1101,1
10,1,0,1,0,0,1.0,15.291,0,1,-0.046831693989071055,1,2023-wimbledon-1101,0
0,1,0,1,0,1,0.0,8.127,1,1,0.9369486338797816,1,2023-wimbledon-1101,0
15,1,0,1,0,1,0.0,27.792,1,1,3.462918579234973,0,2023-wimbledon-1101,0
0,1,0,1,0,1,0.0,4.47,1,0,3.7037016393442617,1,2023-wimbledon-1101,0
15,1,0,1,0,1,0.0,17.395,1,1,3.768845355191257,1,2023-wimbledon-1101,1
25,1,0,1,0,1,0.0,21.548,1,1,2.4049830601092896,0,2023-wimbledon-1101,0
