x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,label,match_id,turning_point,win_predict
0,1,0,0,0,1,0.0,26.081,1,1,-2.573281420765027,0,2023-wimbledon-2601,0,16.308653
-10,0,0,0,0,1,0.0,8.151,1,1,-2.6818464480874318,0,2023-wimbledon-2601,0,22.846563
0,1,0,0,0,1,0.0,12.305,0,0,-5.625695081967214,0,2023-wimbledon-2601,0,7.587965
-15,0,0,0,0,1,0.0,9.223,0,1,-5.395377049180327,0,2023-wimbledon-2601,0,32.125699000000004
-30,0,0,0,0,1,0.0,19.15,0,0,-5.1020650273224035,1,2023-wimbledon-2601,0,64.53295
-15,0,0,0,0,1,0.0,3.34,0,1,-2.6179699453551915,0,2023-wimbledon-2601,0,28.519419999999997
-25,0,0,0,0,1,0.0,15.508,0,0,-2.0122825136612024,0,2023-wimbledon-2601,0,53.49540399999999
0,1,0,1,0,1,0.5,14.457,1,1,-1.424787431693989,1,2023-wimbledon-2601,0,9.780641000000001
15,1,0,1,0,1,0.5,33.385,1,1,0.8824912568306013,0,2023-wimbledon-2601,1,-5.031495000000003
0,1,0,1,0,1,0.5,24.393,1,1,-1.8248639344262296,1,2023-wimbledon-2601,0,15.871409
15,1,0,1,0,1,0.5,56.335,1,1,0.4854005464480875,0,2023-wimbledon-2601,0,9.036855
0,1,0,1,0,1,0.5,6.52,1,1,-0.35619617486338784,0,2023-wimbledon-2601,1,4.91526
-10,0,0,1,0,1,0.5,14.057,1,1,-2.93655956284153,1,2023-wimbledon-2601,0,27.064441
0,1,0,1,0,1,0.5,27.448,1,1,-0.03313606557377084,0,2023-wimbledon-2601,0,17.744124000000003
-10,0,0,1,0,1,0.5,14.725,1,1,-2.7356868852459013,0,2023-wimbledon-2601,0,27.473924999999998
0,1,0,0,0,0,0.0,5.427,0,1,-3.0448912568306015,0,2023-wimbledon-2601,0,3.5007509999999997
-15,0,0,0,0,0,0.0,25.532,0,0,-2.782215300546448,0,2023-wimbledon-2601,1,42.066116
-30,0,0,0,0,0,0.0,9.638,0,1,-5.206898360655737,0,2023-wimbledon-2601,1,58.831094
-40,0,0,0,0,0,0.0,5.67,0,0,-4.821846994535519,0,2023-wimbledon-2601,0,73.91571
0,1,0,1,0,1,0.0,10.005,1,1,-3.5825120218579243,1,2023-wimbledon-2601,1,6.862065
15,1,0,1,0,1,0.0,5.504,1,1,-1.3108262295081967,1,2023-wimbledon-2601,0,-22.312048
30,1,0,1,0,1,0.0,14.49,1,1,1.07614262295082,0,2023-wimbledon-2601,0,-43.21862999999999
15,1,0,1,0,1,0.0,32.91,1,1,0.8145010928961751,1,2023-wimbledon-2601,0,-5.512170000000001
25,1,0,1,0,1,0.0,11.472,1,1,2.7886437158469946,0,2023-wimbledon-2601,0,-36.26366399999999
10,1,0,1,0,1,0.0,28.466,1,0,0.26539234972677606,0,2023-wimbledon-2601,0,0.4756579999999994
0,1,0,1,0,1,0.0,15.658,1,0,-2.3466535519125684,0,2023-wimbledon-2601,0,10.234353999999998
-10,0,0,1,0,1,0.0,20.161,1,0,-2.393302732240437,1,2023-wimbledon-2601,0,30.523693
0,1,0,1,0,1,0.0,29.718,1,0,-2.504472677595628,0,2023-wimbledon-2601,0,18.853133999999997
-10,0,0,1,0,1,0.0,28.875,1,1,-2.7415852459016397,1,2023-wimbledon-2601,0,35.958375000000004
0,1,0,1,0,1,0.0,12.373,1,1,0.06108469945355188,1,2023-wimbledon-2601,0,8.313649
10,1,0,1,0,1,0.0,3.997,1,0,2.714307650273224,0,2023-wimbledon-2601,0,-14.523839
0,1,0,1,0,1,0.0,29.446,1,1,0.058628415300546494,0,2023-wimbledon-2601,0,18.779398
-10,0,0,1,0,1,0.0,3.758,1,0,0.03556612021857923,1,2023-wimbledon-2601,0,20.468654
0,1,0,1,0,1,0.0,8.71,1,1,-0.21754972677595646,0,2023-wimbledon-2601,0,6.068230000000001
-10,0,0,1,0,1,0.0,18.845,1,0,-2.7655071038251355,0,2023-wimbledon-2601,0,29.716984999999998
0,1,0,1,0,1,0.5,4.826,0,1,-3.404331147540984,0,2023-wimbledon-2601,0,3.693838
-15,0,0,1,0,1,0.5,18.893,0,0,-2.891958469945355,0,2023-wimbledon-2601,0,38.557908999999995
-30,0,0,1,0,1,0.5,4.458,0,1,-5.230306010928961,0,2023-wimbledon-2601,1,56.217254000000004
-40,0,0,1,0,1,0.5,7.02,0,1,-4.9617491803278675,1,2023-wimbledon-2601,0,75.39775999999999
-25,0,0,1,0,1,0.5,40.292,0,0,-2.071756830601093,1,2023-wimbledon-2601,1,69.285496
-10,0,0,1,0,1,0.5,1.662,0,0,0.4511349726775953,1,2023-wimbledon-2601,0,19.190306
0,1,0,1,0,1,0.5,50.911,0,0,2.6456530054644807,0,2023-wimbledon-2601,1,31.850943
-10,0,0,1,0,1,0.5,8.444,0,0,2.7397497267759565,1,2023-wimbledon-2601,1,23.347672
0,1,0,1,0,1,0.5,15.763,0,1,2.413648087431694,0,2023-wimbledon-2601,0,10.398219
-10,0,0,1,0,1,0.5,2.28,0,0,-0.1595131147540982,1,2023-wimbledon-2601,1,19.569139999999997
0,1,0,1,0,1,0.5,25.93,0,0,-0.1895131147540983,1,2023-wimbledon-2601,0,16.53759
10,1,0,1,0,1,0.5,1.651,0,1,2.3444934426229507,0,2023-wimbledon-2601,0,-15.862437000000002
0,1,0,1,0,1,0.5,43.117,0,0,0.2659551912568307,1,2023-wimbledon-2601,1,27.073220999999997
10,1,0,1,0,1,0.5,20.929,0,1,2.801788524590164,1,2023-wimbledon-2601,1,-4.045023000000002
0,1,0,1,0,0,1.0,17.584,1,1,3.9911874316939895,1,2023-wimbledon-2601,0,11.922991999999999
15,1,0,1,0,0,1.0,5.021,1,1,4.259339344262295,1,2023-wimbledon-2601,1,-22.193126999999997
30,1,0,1,0,0,1.0,33.955,1,1,7.14614480874317,1,2023-wimbledon-2601,0,-30.871584999999996
40,1,0,1,0,0,1.0,11.042,1,1,7.929552459016393,1,2023-wimbledon-2601,0,-62.527253999999985
0,1,0,0,0,1,0.0,28.472,0,1,7.746515846994535,1,2023-wimbledon-2601,0,17.591336000000002
15,1,0,0,0,1,0.0,11.357,0,0,8.298412021857922,1,2023-wimbledon-2601,1,-19.408159
30,1,0,0,0,1,0.0,6.782,0,1,8.79264863387978,0,2023-wimbledon-2601,1,-48.534634
15,1,0,0,0,1,0.0,19.57,0,1,6.130225683060109,0,2023-wimbledon-2601,0,-14.280590000000002
0,1,0,0,0,1,0.0,24.315,0,1,0.12019945355191274,1,2023-wimbledon-2601,1,15.043095000000001
10,1,0,0,0,1,0.0,61.845,0,1,0.011792896174863413,0,2023-wimbledon-2601,0,20.438984999999995
0,1,0,0,0,1,0.0,35.424,0,1,-2.141220218579235,0,2023-wimbledon-2601,0,21.852912
-10,0,0,0,0,1,0.0,2.43,0,0,-2.5252792349726776,1,2023-wimbledon-2601,0,19.063589999999998
0,1,0,0,0,1,0.0,24.164,0,1,-0.3416153005464482,1,2023-wimbledon-2601,0,14.950532
10,1,0,0,0,1,0.0,11.047,0,1,-0.32638688524590176,1,2023-wimbledon-2601,0,-10.700189000000002
0,1,0,0,1,1,0.0,2.709,1,1,4.525625136612022,1,2023-wimbledon-2601,0,1.758617
15,1,0,0,1,1,0.0,4.961,1,0,7.801464480874317,0,2023-wimbledon-2601,0,-23.368907
0,1,0,0,1,1,0.0,16.16,1,1,5.901464480874317,0,2023-wimbledon-2601,1,10.004079999999998
-15,0,0,0,1,1,0.0,14.44,1,1,2.9736721311475414,0,2023-wimbledon-2601,0,35.28372
-25,0,0,0,1,1,0.0,14.74,1,1,-2.6135759562841527,0,2023-wimbledon-2601,0,53.07762
0,1,0,0,0,1,0.0,5.696,0,1,-3.990443715846994,0,2023-wimbledon-2601,1,3.6296479999999995
-15,0,0,0,0,1,0.0,30.292,0,0,-3.7460568306010926,0,2023-wimbledon-2601,1,44.947996
-30,0,0,0,0,1,0.0,1.272,0,0,-3.701004371584699,1,2023-wimbledon-2601,0,53.573736
-15,0,0,0,0,1,0.0,45.947,0,0,-1.4022349726775951,1,2023-wimbledon-2601,0,54.544511
0,1,0,0,0,1,0.0,1.238,0,1,0.8511967213114757,0,2023-wimbledon-2601,1,0.896894
-10,0,0,0,0,1,0.0,6.088,0,1,0.8555732240437159,0,2023-wimbledon-2601,0,21.398943999999997
0,1,0,0,0,1,0.0,15.907,0,1,3.3422049180327873,0,2023-wimbledon-2602,0,9.888990999999999
-15,0,0,0,0,1,0.0,5.727,0,1,1.1854049180327868,0,2023-wimbledon-2602,1,29.982650999999997
-30,0,0,0,0,1,0.0,6.342,0,1,-1.8990213114754095,0,2023-wimbledon-2602,1,56.774646
-40,0,0,0,0,1,0.0,3.531,0,0,-1.9045349726775953,0,2023-wimbledon-2602,0,72.56850299999999
0,1,0,1,0,1,0.0,5.754,1,1,-1.9124792349726771,1,2023-wimbledon-2602,1,4.256201999999999
15,1,0,1,0,1,0.0,6.727,1,1,0.4383355191256835,0,2023-wimbledon-2602,0,-21.562349
0,1,0,1,0,1,0.0,3.584,1,0,0.17576393442622978,1,2023-wimbledon-2602,0,2.8329919999999995
15,1,0,1,0,1,0.0,36.547,1,0,2.416146994535519,0,2023-wimbledon-2602,0,-3.3756890000000013
0,1,0,1,0,1,0.0,6.037,1,0,-0.37622349726775944,0,2023-wimbledon-2602,0,4.336681
-10,0,0,1,0,1,0.0,9.747,1,0,-2.8737300546448084,1,2023-wimbledon-2602,1,24.139910999999998
0,1,0,1,0,1,0.0,8.841,1,1,-0.36458306010928954,1,2023-wimbledon-2602,0,6.148533
10,1,0,1,0,1,0.0,2.394,1,1,-0.3067502732240436,1,2023-wimbledon-2602,0,-15.413478
0,1,0,1,0,0,0.0,50.152,0,1,2.6328956284153002,1,2023-wimbledon-2602,0,31.325176000000003
15,1,0,1,0,0,0.0,2.136,0,1,5.849950273224042,0,2023-wimbledon-2602,1,-24.523632
0,1,0,1,0,0,0.0,6.642,0,0,3.9857584699453543,0,2023-wimbledon-2602,1,4.560546
-15,0,0,1,0,0,0.0,12.107,0,1,1.2288540983606555,1,2023-wimbledon-2602,0,34.337591
0,1,0,1,0,0,0.0,17.616,0,1,0.4257622950819673,1,2023-wimbledon-2602,0,11.380608
10,1,0,1,0,0,0.0,22.182,0,1,0.1592551912568303,0,2023-wimbledon-2602,0,-3.430434
0,1,0,1,0,0,0.0,5.873,0,1,0.055427868852459025,0,2023-wimbledon-2602,0,4.182149
