x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,label,match_id,turning_point,match_performance
0,1,0,1,0,0,0.0,12.337,1,0,0.0,1,2023-wimbledon-2601,0,-0.10871800000000004
15,1,0,1,0,0,0.0,38.013,1,1,1.2699049180327868,1,2023-wimbledon-2601,1,-0.6031820000000001
30,1,0,1,0,0,0.0,19.604,1,1,3.590615300546448,0,2023-wimbledon-2601,0,-0.12045600000000006
15,1,0,1,0,0,0.0,24.212,1,1,2.438348633879781,1,2023-wimbledon-2601,0,-0.40996800000000005
25,1,0,1,0,0,0.0,2.532,1,1,3.6236601092896175,1,2023-wimbledon-2601,0,0.04355199999999998
0,1,0,1,0,0,1.0,14.102,0,1,3.616921857923497,0,2023-wimbledon-2601,1,-0.25142800000000004
-15,0,0,1,0,0,1.0,1.24,0,1,0.480208743169399,0,2023-wimbledon-2601,0,0.25264
-30,0,0,1,0,0,1.0,15.876,0,0,0.9513918032786887,1,2023-wimbledon-2601,0,0.18273600000000004
-15,0,0,1,0,0,1.0,31.218,0,1,0.895893442622951,0,2023-wimbledon-2601,0,-0.16705199999999998
-25,0,0,1,0,0,1.0,24.382,0,1,-2.09475956284153,0,2023-wimbledon-2601,0,-0.22134800000000004
0,1,0,1,0,0,1.0,17.262,1,0,-1.620584699453552,1,2023-wimbledon-2601,1,0.5213319999999999
15,1,0,1,0,0,1.0,39.547,1,0,0.7151409836065574,1,2023-wimbledon-2601,0,0.43434199999999995
30,1,0,1,0,0,1.0,7.444,1,0,1.8226819672131147,0,2023-wimbledon-2601,1,1.108784
15,1,0,1,0,0,1.0,10.799,1,1,1.7647377049180328,1,2023-wimbledon-2601,0,0.47681399999999996
25,1,0,1,0,0,1.0,8.332,1,1,3.6366081967213106,1,2023-wimbledon-2601,0,0.661352
0,1,0,1,0,0,0.0,24.316,0,1,3.598161202185792,0,2023-wimbledon-2601,1,-1.093424
-15,0,0,1,0,0,0.0,10.418,0,1,0.4416459016393444,0,2023-wimbledon-2601,1,-0.5748519999999999
-30,0,0,1,0,0,0.0,11.068,0,1,0.823335519125683,1,2023-wimbledon-2601,0,-0.8089519999999999
-15,0,0,1,0,0,0.0,3.916,0,1,0.7750054644808744,0,2023-wimbledon-2601,0,-0.483824
-25,0,0,1,0,0,0.0,28.899,0,1,-2.0949371584699454,1,2023-wimbledon-2601,0,-0.983586
-10,0,0,1,0,0,0.0,5.669,0,1,0.29717704918032783,0,2023-wimbledon-2601,1,-0.433366
0,1,0,0,0,1,0.0,29.51,1,1,0.9356256830601094,0,2023-wimbledon-2601,1,-1.5471400000000002
-15,0,0,0,0,1,0.0,25.749,1,1,-1.641472677595628,0,2023-wimbledon-2601,1,-1.170486
-30,0,0,0,0,1,0.0,29.002,1,0,-2.039754644808743,0,2023-wimbledon-2601,1,-1.081028
-40,0,0,0,0,1,0.0,12.829,1,1,-4.697166666666667,0,2023-wimbledon-2601,0,-1.3646059999999998
0,1,0,0,0,0,0.0,7.806,0,0,-5.931998907103826,1,2023-wimbledon-2601,1,-0.6582840000000001
15,1,0,0,0,0,0.0,15.719,0,0,-3.3888284153005466,1,2023-wimbledon-2601,1,-0.544066
30,1,0,0,0,0,0.0,1.59,0,1,-0.9267989071038245,0,2023-wimbledon-2601,0,-0.4812600000000001
15,1,0,0,0,0,0.0,30.795,0,1,-0.5542404371584699,0,2023-wimbledon-2601,0,-1.1151300000000002
0,1,0,0,0,0,0.0,2.883,0,0,-0.10771147540983594,1,2023-wimbledon-2601,0,-0.589362
10,1,0,0,0,0,0.0,16.929,0,1,-0.15549617486338788,0,2023-wimbledon-2601,0,-0.996006
0,1,0,0,0,0,0.0,11.649,0,1,-2.236109289617487,1,2023-wimbledon-2601,0,-1.072086
10,1,0,0,0,0,0.0,10.067,0,1,-0.1801628415300544,1,2023-wimbledon-2601,1,-0.899938
0,1,0,1,0,1,0.0,7.953,1,1,3.161851366120218,0,2023-wimbledon-2601,0,-1.0893420000000003
-15,0,0,1,0,1,0.0,9.021,1,1,1.0342513661202182,0,2023-wimbledon-2601,0,-0.780294
